Batch,Rank,Word,Definition,POS,Syllables,Band,Difficulty
1,1,ու,[No definition],noun,1,1-100,1.1
1,2,որ,[No definition],noun,1,1-100,1.1
1,3,են,[No definition],noun,1,1-100,1.1
1,5,եւ,access-restricted; nayiri; com,noun,2,1-100,2.0
1,8,իր,[No definition],noun,1,1-100,1.1
1,9,ան,access-restricted; nayiri; com,noun,1,1-100,1.1
1,10,այն,[No definition],noun,2,1-100,2.0
1,11,այդ,[No definition],noun,2,1-100,2.0
1,12,մէջ,[No definition],noun,1,1-100,1.1
1,13,նա,[No definition],noun,1,1-100,1.1
1,15,մեր,[No definition],noun,1,1-100,1.1
1,16,ոչ,[No definition],noun,1,1-100,1.1
1,18,այս,[No definition],noun,2,1-100,2.0
1,23,ես,access-restricted; nayiri; com,noun,1,1-100,1.1
1,24,նոր,[No definition],noun,1,1-100,1.1
1,26,մեծ,[No definition],noun,1,1-100,1.1
1,28,համար,[No definition],noun,2,1-100,2.0
1,30,կամ,[No definition],noun,1,1-100,1.1
1,36,մասին,[No definition],noun,2,1-100,2.0
1,37,չի,[No definition],noun,1,1-100,1.1
2,38,բայց,[No definition],noun,2,1-100,2.0
2,44,միայն,[No definition],noun,3,1-100,2.9
2,47,ինչ,[No definition],noun,1,1-100,1.1
2,48,շատ,[No definition],noun,1,1-100,1.1
2,52,հա,[No definition],noun,1,1-100,1.1
2,53,էջ,[No definition],noun,1,1-100,1.1
2,54,իրենց,[No definition],noun,2,1-100,2.0
2,55,հետ,[No definition],noun,1,1-100,1.1
2,56,երբ,[No definition],noun,1,1-100,1.1
2,58,եմ,[No definition],noun,1,1-100,1.1
2,59,հայ,[No definition],noun,2,1-100,2.0
2,61,չէ,[No definition],noun,1,1-100,1.1
2,64,առաջին,[No definition],noun,3,1-100,2.9
2,68,երկու,[No definition],noun,2,1-100,2.0
2,70,վրայ,[No definition],noun,3,1-100,2.9
2,71,իմ,[No definition],noun,1,1-100,1.1
2,73,կարող,[No definition],noun,2,1-100,2.0
2,77,ժամանակ,[No definition],noun,3,1-100,2.9
2,82,օր,[No definition],noun,1,1-100,1.1
2,83,բան,[No definition],noun,1,1-100,1.1
2,84,ուր,[No definition],noun,1,1-100,1.1
2,87,պետք,[No definition],noun,2,1-100,2.0
2,90,առաջ,[No definition],noun,2,1-100,2.0
2,94,առ,[No definition],noun,1,1-100,1.1
3,95,մենք,[No definition],noun,1,1-100,1.1
3,97,քանի,[No definition],noun,2,1-100,2.0
3,98,պիտի,[No definition],noun,2,1-100,2.0
3,100,քան,[No definition],noun,1,1-100,1.1
3,109,քաղաքական,[No definition],noun,4,101-500,4.6
3,111,ամբողջ,[No definition],noun,2,101-500,2.8
3,112,տարի,[No definition],noun,2,101-500,2.8
3,115,ապա,[No definition],noun,2,101-500,2.8
3,125,հայկական,[No definition],noun,4,101-500,4.6
3,126,բարձր,[No definition],noun,2,101-500,2.8
3,131,անգամ,[No definition],noun,2,101-500,2.8
3,134,աս,[No definition],noun,1,101-500,1.9
3,138,ըստ,[No definition],noun,1,101-500,1.9
3,140,կարելի,[No definition],noun,3,101-500,3.7
3,141,վեր,[No definition],noun,1,101-500,1.9
3,143,մոտ,[No definition],noun,1,101-500,1.9
3,148,վերջին,[No definition],noun,2,101-500,2.8
3,152,ներ,[No definition],noun,1,101-500,1.9
3,154,ազգային,[No definition],noun,4,101-500,4.6
3,157,ինձ,[No definition],noun,1,101-500,1.9
3,161,նման,[No definition],noun,2,101-500,2.8
3,163,դուրս,[No definition],noun,1,101-500,1.9
3,167,տակ,[No definition],noun,1,101-500,1.9
3,168,թի,[No definition],noun,1,101-500,1.9
3,171,ով,[No definition],noun,1,101-500,1.9
3,175,նաեւ,[No definition],noun,3,101-500,3.7
3,177,առանց,[No definition],noun,2,101-500,2.8
3,179,ժողովրդական,[No definition],noun,5,101-500,5.5
4,188,հին,[No definition],noun,1,101-500,1.9
4,195,տեղ,[No definition],noun,1,101-500,1.9
4,197,աւելի,[No definition],noun,4,101-500,4.6
4,209,տարբեր,[No definition],noun,2,101-500,2.8
4,216,մեզ,[No definition],noun,1,101-500,1.9
4,223,ետ,access-restricted; nayiri; com,noun,1,101-500,1.9
4,239,մարդ,[No definition],noun,1,101-500,1.9
4,242,աղ,access-restricted; nayiri; com,noun,1,101-500,1.9
