StdBlock,StdLabel,Batch,Rank,Word,Definition,POS,Syllables,Band,Difficulty,IPA,English_Approx,Phonetic_Difficulty
4,N4,3,313,ութ,eight,noun,1,101-500,1.9,v~ɔut,v/o oo t,2.0
4,N4,3,343,կին,"wife, woman",noun,1,101-500,1.9,kin,k ee n,1.0
4,N4,3,344,միշտ,always,noun,1,101-500,1.9,miʃd,m ee sh d,1.0
4,N4,3,350,պատ,wall,noun,1,101-500,1.9,p?d,p ? d,1.0
4,N4,3,356,տէր,"lord, owner",noun,1,101-500,1.9,d?ɾ,d ? r,2.0
4,N4,3,368,քիչ,"little, few",noun,1,101-500,1.9,kitʃ,k ee ch,1.0
4,N4,3,381,տուն,"home, house",noun,1,101-500,1.9,dv~ɔun,d v/o oo n,2.0
4,N4,3,383,սուրբ,"holy, saint",noun,1,101-500,1.9,sv~ɔuɾp,s v/o oo r p,2.0
4,N4,3,398,ողջ,"alive, living",noun,1,101-500,1.9,v~ɔɣtʃ,v/o voiced gh ch,4.3
4,N4,3,410,նախ,"first, firstly, foremost",noun,1,101-500,1.9,n?x,n ? kh,4.3
4,N4,3,415,ձեռք,hand in hand,noun,1,101-500,1.9,dzɛ~jɛrk,dz e/ye r (trilled) k,3.3
4,N4,3,416,բու,owl,noun,1,101-500,1.9,pv~ɔu,p v/o oo,2.0
4,N4,3,427,բաց,"open, light",noun,1,101-500,1.9,p?ts,p ? ts,2.0
5,N5,3,429,վար,"down, below",noun,1,101-500,1.9,??ɾ,? ? r,2.0
5,N5,3,471,դար,"century, age, period",noun,1,101-500,1.9,t?ɾ,t ? r,2.0
5,N5,3,490,խիստ,"hard, strict, severe, rigid",noun,1,101-500,1.9,xisd,kh ee s d,4.3
5,N5,3,5,եւ,and,noun,2,1-100,2.0,ɛ~jɛu,e/ye oo,1.0
5,N5,3,36,մասին,"concerning, about",noun,2,1-100,2.0,m?sin,m ? s ee n,1.0
5,N5,3,38,բայց,but,noun,2,1-100,2.0,p?jts,p ? y ts,2.0
5,N5,3,54,իրենց,their,noun,2,1-100,2.0,iɾɛ~jɛnts,ee r e/ye n ts,2.0
5,N5,4,59,հայ,Armenian (person),noun,2,1-100,2.0,h?j,h ? y,1.0
5,N5,4,68,երկու,two,noun,2,1-100,2.0,ɛ~jɛɾkv~ɔu,e/ye r k v/o oo,2.0
